Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Rượu mơ Choya 1L hộp giấy,Sản phẩm thường,Rượu - Thuốc lá,4905846117492,4905846117492,Có,260000,275000,270000,350000,275000,280000,hộp(6),260000,6,260000,0,260000,9,260000,0,260000,0
7966-Choya Single Year trái 650ml,Sản phẩm thường,Rượu - Thuốc lá,4905846117966,4905846117966,Có,245000,260000,255000,400000,260000,265000,Chai(12),245000,2,245000,1,245000,0,245000,0,245000,0
Rượu Choya đào 700ml ,Sản phẩm thường,Rượu - Thuốc lá,4905846119878,4905846119878,Có,205000,230000,225000,350000,230000,235000,chai(6),205000,0,205000,0,205000,0,205000,0,205000,0
Rượu Choya nâu 720ml,Sản phẩm thường,Rượu - Thuốc lá,4905846119939,4905846119939,Có,270000,300000,295000,420000,300000,310000,chai (6),270000,0,270000,0,270000,0,270000,0,270000,0
6411-Rượu Iichiko 720ml,Sản phẩm thường,Rượu - Thuốc lá,4906666126411,4906666126411,Có,320000,360000,350000,500000,360000,370000,Chai(12),320000,6,320000,10,320000,9,320000,0,320000,0
Máy thuốc lá điện tử IQOS - màu trắng,Sản phẩm thường,Rượu - Thuốc lá,4930941002237,4930941002237,Có,1400,2250,2250,2000,2250,2250,Cái,1400,1,1400,0,1400,0,1400,0,1400,0
Máy thuốc lá điện tử IQOS - màu Navy,Sản phẩm thường,Rượu - Thuốc lá,4930941501846,4930941501846,Có,1400,2250,2250,2000,2250,2250,cái,1400,0,1400,0,1400,3,1400,0,1400,0
Rượu mơ Choya 160ml,Sản phẩm thường,Rượu - Thuốc lá,49337006,49337006,Có,60000,70000,70000,90000,70000,75000,chai (6x5),60000,0,60000,0,60000,0,60000,0,60000,0
0281-Thuốc lá Mevius Lights gói lẻ,Sản phẩm thường,Rượu - Thuốc lá,49400281,49400281,Có,70000,75000,75000,110000,75000,80000,Gói(10),70000,0,70000,0,70000,0,70000,0,70000,0
1219-Thuốc lá winston loại mềm,Sản phẩm thường,Rượu - Thuốc lá,49401219,49401219,Có,67000,75000,75000,90000,75000,80000,Gói(10),67000,0,67000,0,67000,0,67000,0,67000,0
1523- Thuốc lá winston loại cứng,Sản phẩm thường,Rượu - Thuốc lá,49401523,49401523,Có,66000,75000,75000,90000,75000,80000,Gói (10),66000,0,66000,0,66000,0,66000,0,66000,0
Rượu Sake Nishino Seki Han-nary 720ml,Sản phẩm thường,Rượu - Thuốc lá,4945252117211,4945252117211,Có,1406,1450,1450,1800,1450,1500,Chai,1406,5,1406,3,1406,2,1406,0,1406,0
Rượu Sake Nishinoseki Bigin 720ml,Sản phẩm thường,Rượu - Thuốc lá,4945252147270,4945252147270,Có,602800,620000,620000,750000,620000,630000,chai,602800,4,602800,0,602800,2,602800,0,602800,0
Rượu Sake Nishino Seki Junmaishu 300ml,Sản phẩm thường,Rượu - Thuốc lá,4945252273030,4945252273030,Có,193600,210000,210000,250000,210000,215000,Chai,193600,4,193600,2,193600,3,193600,0,193600,0
Rượu Sake Nishino Seki Junmaishu 720ml,Sản phẩm thường,Rượu - Thuốc lá,4945252277229,4945252277229,Có,347600,370000,370000,450000,370000,380000,chai,347600,5,347600,3,347600,6,347600,0,347600,0
Rượu Sake Nishino Seki Kosyu (17.6%) ủ 29 năm 500ml,Sản phẩm thường,Rượu - Thuốc lá,4945252385030,4945252385030,Có,1054,1120,1100,1400,1120,1250,Hộp,1054,3,1054,2,1054,3,1054,0,1054,0
3069 - Rượu Sake Nishino Seki Hiya 300ml,Sản phẩm thường,Rượu - Thuốc lá,4945252503069,4945252503069,Có,190080,210000,210000,270000,210000,215000,Chai,190080,4,190080,3,190080,6,190080,0,190080,0
Rượu Sake Nishino Seki Hiya 720ml,Sản phẩm thường,Rượu - Thuốc lá,4945252508255,4945252508255,Có,387200,410000,410000,500000,410000,415000,Chai,387200,4,387200,3,387200,5,387200,0,387200,0
Set rượu Sake Nishino Seki Hiya và Hana 300ml,Sản phẩm thường,Rượu - Thuốc lá,4945252693487,4945252693487,Có,406500,430000,430000,550000,430000,440000,Set,406500,6,406500,5,406500,6,406500,0,406500,0
