Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Vớ quần màu đen Tuche,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",49011,49011,Có,80000,90000,90000,120000,90000,92000,Cái,80000,0,80000,0,80000,0,80000,0,80000,0
Vớ quần màu da Tuche,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",49012,49012,Có,80000,90000,90000,120000,90000,92000,Cái,80000,0,80000,0,80000,0,80000,0,80000,0
Vớ giữ nhiệt dạng quần Uniqlo màu đen,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",49013,49013,Có,130000,140000,140000,200000,140000,150000,Cái,130000,0,130000,0,130000,0,130000,0,130000,0
Vớ chân Sabrina Cool ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4901420764946,4901420764946,Có,80000,90000,90000,120000,90000,95000,cái,80000,0,80000,0,80000,0,80000,0,80000,0
Khăn lau nhà bếp đa năng set 3,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4901750025274,4901750025274,Có,30550,36000,35000,45000,36000,37000,Cái,30550,10,30550,8,30550,2,30550,0,30550,0
Thảm lót chống trượt 45x120cm,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4901983107716,4901983107716,Có,375760,410000,410000,510000,410000,410000,cái,375760,0,375760,0,375760,0,375760,0,375760,0
Mũ chụp tắm cao cấp,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4901983341332,4901983341332,Có,53300,59000,58000,80000,59000,60000,Cái,53300,3,53300,5,53300,12,53300,0,53300,0
1013-Khẩu trang Hakugen 30 cái,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4902407581013,4902407581013,Có,150000,165000,160000,200000,165000,170000,Hộp,150000,7,150000,12,150000,1,150000,0,150000,0
Khẩu trang gấu Pigeon set 3,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4902508150200,4902508150200,Có,80000,88000,85000,120000,88000,90000,Hộp(30),80000,0,80000,0,80000,0,80000,0,80000,0
Khẩu trang gấu Pigeon set 7 ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4902508151405,4902508151405,Có,150000,158000,155000,210000,158000,160000,Set ( 30),150000,0,150000,0,150000,0,150000,0,150000,0
Khẩu trang Unicham,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4903111905744,4903111905744,Có,22000,37000,37000,35000,37000,30000,cái,22000,0,22000,0,22000,0,22000,0,22000,0
Vớ da chân màu đen Fukuske set 5,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4905489218044,4905489218044,Có,200000,220000,220000,280000,220000,230000,cặp,200000,0,200000,0,200000,0,200000,0,200000,0
0045-Trùm tóc ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4905687000045,4905687000045,Có,30000,35000,35000,50000,35000,37000,Cái,30000,23,30000,0,30000,0,30000,0,30000,0
Áo thun Nam Polo Uniqlo ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",492007,492007,Có,350000,380000,370000,500000,380000,390000,Cái,350000,39,350000,32,350000,11,350000,0,350000,0
