Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Dầu Oliu Extra 200g,Sản phẩm thường,Ăn Uống,4902590852679,4902590852679,Có,65000,70000,68000,100000,70000,72000,Chai(12),65000,0,65000,3,65000,7,65000,0,65000,0
Dầu Oliu Extra 400g,Sản phẩm thường,Ăn Uống,4902590852693,4902590852693,Có,115000,115000,115000,150000,115000,120000,chai (12),115000,0,115000,0,115000,0,115000,0,115000,0
Chocolate Bonbon Selection,Sản phẩm thường,Ăn Uống,4902621812245,4902621812245,Có,220000,240000,240000,300000,240000,240000,Hộp,220000,0,220000,0,220000,0,220000,0,220000,0
Chocolate VSOP,Sản phẩm thường,Ăn Uống,4902621834261,4902621834261,Có,115000,125000,125000,160000,125000,125000,Hộp,115000,0,115000,0,115000,0,115000,0,115000,0
5698-Nước tương cao cấp Heisei,Sản phẩm thường,Ăn Uống,4902626165698,4902626165698,Có,94050,115000,110000,150000,115000,120000,Chai,94050,49,94050,23,94050,0,94050,0,94050,0
2190-Nước tương trắng tinh khiết  EX 100ml,Sản phẩm thường,Ăn Uống,4902626182190,4902626182190,Có,94050,110000,105000,150000,110000,115000,Chai,94050,47,94050,1,94050,3,94050,0,94050,0
5031-Nước tương em bé 150ml,Sản phẩm thường,Ăn Uống,4902652125031,4902652125031,Có,80000,85000,86000,150000,85000,86000,Chai,80000,0,80000,0,80000,0,80000,0,80000,0
2269-Miến Hikari Miso 8 gói,Sản phẩm thường,Ăn Uống,4902663012269,4902663012269,Có,65000,70000,70000,100000,70000,75000,Gói(8),65000,1,65000,0,65000,0,65000,0,65000,0
Miến Miso rau củ Hikari 10 gói,Sản phẩm thường,Ăn Uống,4902663012276,4902663012276,Có,75000,85000,85000,120000,85000,85000,Thùng (6),75000,0,75000,0,75000,0,75000,0,75000,0
Thịt bò đóng hộp,Sản phẩm thường,Ăn Uống,4902701908134,4902701908134,Có,45000,55000,55000,70000,55000,57000,hộp,45000,0,45000,0,45000,0,45000,0,45000,0
Thịt bò đóng hộp,Sản phẩm thường,Ăn Uống,4902701908141,4902701908141,Có,45000,55000,55000,70000,55000,57000,hộp,45000,0,45000,0,45000,0,45000,0,45000,0
Thịt bò đóng hộp,Sản phẩm thường,Ăn Uống,4902701908158,4902701908158,Có,45000,55000,55000,70000,55000,57000,hộp,45000,0,45000,0,45000,0,45000,0,45000,0
0859-Miso vàng Shinshuichi Mikochan 850g,Sản phẩm thường,Ăn Uống,4902703010859,4902703010859,Có,78000,85000,85000,120000,85000,90000,gói(12),78000,0,78000,0,78000,0,78000,0,78000,0
