Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
0105-Nhấn mi Eye Talk Koji ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4972915650105,4972915650105,Có,145000,155000,150000,220000,155000,157000,Cái,145000,0,145000,0,145000,0,145000,0,145000,0
BB Allie,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167042908,4973167042908,Có,230000,250000,250000,300000,250000,250000,Tuýp,230000,0,230000,0,230000,0,230000,0,230000,0
Kem dưỡng da Kanebo Premiolity,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167100141,4973167100141,Có,750000,800000,800000,950000,800000,800000,Hộp,750000,0,750000,0,750000,0,750000,0,750000,0
Má hồng Media PK-01,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167107904,4973167107904,Có,110000,130000,130000,180000,130000,130000,set,110000,0,110000,0,110000,0,110000,0,110000,0
Má hồng Media RD 01,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167107959,4973167107959,Có,110000,130000,130000,180000,130000,130000,Hộp,110000,0,110000,0,110000,0,110000,0,110000,0
Má hồng Media RD 02,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167107966,4973167107966,Có,110000,130000,130000,180000,130000,130000,Hộp,110000,0,110000,0,110000,0,110000,0,110000,0
Má hồng Media OR-04,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167107980,4973167107980,Có,110000,130000,130000,180000,130000,130000,hộp,110000,0,110000,0,110000,0,110000,0,110000,0
BB Kanebo,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167109137,4973167109137,Có,170000,190000,190000,300000,190000,190000,tuýp,170000,0,170000,0,170000,0,170000,0,170000,0
Phấn nền Kanebo BB,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167109144,4973167109144,Có,170000,200000,200000,280000,200000,200000,hộp,170000,0,170000,0,170000,0,170000,0,170000,0
Kem dưỡng trắng da Kanebo 50+,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4973167111895,4973167111895,Có,214000,260000,260000,350000,260000,260000,Hộp,214000,0,214000,0,214000,0,214000,0,214000,0
